Title,Genre1,day,month,year,Runtime,IMDB Score,Language
One-Way to Tomorrow,Romance,19,6,2020,90,5.6,Turkish
Sarah Cooper: Everything's Fine,Variety show,27,10,2020,49,5.6,English
The Last Laugh,Comedy,11,1,2019,98,5.6,English
The Last Paradiso,Romantic,5,2,2021,107,5.6,Italian
The Midnight Sky,Science fiction,23,12,2020,118,5.6,English
The Paramedic,Thriller,16,9,2020,94,5.6,Spanish
The Sleepover,Comedy,21,8,2020,103,5.6,English
Vampires vs. the Bronx,Horror,2,10,2020,86,5.6,English
Why Did You Kill Me?,Documentary,14,4,2021,83,5.6,English
A Very Murray Christmas,Comedy ,4,12,2015,56,5.5,English
Been So Long,Musical,26,10,2018,100,5.5,English
Dead Kids,Thriller,1,12,2019,94,5.5,Filipino
Get the Grift,Comedy,28,4,2021,94,5.5,Portuguese
Ghosts of Sugar Land,Documentary,16,10,2019,21,5.5,English
House Arrest,Comedy,15,11,2019,104,5.5,Hindi
Kevin Hart's Guide to Black History,Variety show,8,2,2019,63,5.5,English
Love Wedding Repeat,Romantic,10,4,2020,100,5.5,English
Mute,Science fiction,23,2,2018,126,5.5,English
Red Dot,Thriller,11,2,2021,86,5.5,Swedish
Ride or Die,Psychological thriller,15,4,2021,142,5.5,Japanese
Step Sisters,Comedy,19,1,2018,108,5.5,English
The Cloverfield Paradox,Science fiction,4,2,2018,102,5.5,English
The Knight Before Christmas,Romantic comedy,21,11,2019,92,5.5,English
The Legacy of a Whitetail Deer Hunter,Adventure,6,7,2018,83,5.5,English
The Package,Black comedy,10,8,2018,94,5.5,English
Unicorn Store,Comedy,5,4,2019,92,5.5,English
Wine Country,Comedy,10,5,2019,103,5.5,English
A Babysitter's Guide to Monster Hunting,Comedy,15,10,2020,98,5.4,English
A Christmas Prince: The Royal Baby,Romantic,5,12,2019,85,5.4,English
Despite Everything,Comedy,3,5,2019,78,5.4,Spanish
Dolly Kitty and Those Twinkling Stars,Drama,18,9,2020,120,5.4,Hindi
Freaks: You're One of Us,drama,2,9,2020,92,5.4,German
"Game Over, Man!",Action,23,3,2018,101,5.4,English
Guilty,Thriller,6,3,2020,119,5.4,Hindi
In the Tall Grass,Horror,4,10,2019,101,5.4,English
Madame Claude,Drama,2,4,2021,112,5.4,French
Naked,Comedy,11,8,2017,96,5.4,English
Outside the Wire,Action,15,1,2021,114,5.4,English
The Princess Switch: Switched Again,Romantic,19,11,2020,97,5.4,English
Under the Riccione Sun,Romantic ,1,7,2020,101,5.4,Italian
A Christmas Prince: The Royal Wedding,Romantic,30,11,2018,92,5.3,English
Back to School,Comedy,30,8,2019,83,5.3,French
Dangerous Lies,Thriller,30,4,2020,97,5.3,English
Gunjan Saxena: The Kargil Girl,Drama,12,8,2020,112,5.3,Hindi
Intuition,Thriller,28,5,2020,116,5.3,Spanish
The Most Assassinated Woman in the World,Thriller,7,9,2018,102,5.3,French
Things Heard & Seen,Horror,29,4,2021,121,5.3,English
"To Each, Her Own",Romantic,24,6,2018,95,5.3,French
Who Would You Take to a Deserted Island?,Drama,12,4,2019,93,5.3,Spanish
XOXO,Drama,26,8,2016,92,5.3,English
#REALITYHIGH,Comedy,8,9,2017,99,5.2,English
American Factory: A Conversation with the Obamas,Aftershow ,21,8,2019,10,5.2,English
Desperados,Romantic,3,7,2020,106,5.2,English
Dolly Parton's Christmas on the Square,Christmas musical,22,11,2020,98,5.2,English
Father of the Year,Comedy,20,7,2018,94,5.2,English
Firebrand,Drama,22,2,2019,112,5.2,Marathi
Ghost Lab,Horror,26,5,2021,117,5.2,Thai
Girlfriend's Day,Comedy,14,2,2017,70,5.2,English
Handsome: A Netflix Mystery Movie,Comedy,5,5,2017,81,5.2,English
Hubie Halloween,Comedy,7,10,2020,103,5.2,English
Ibiza,Comedy,25,5,2018,94,5.2,English
Rim of the World,Science fiction adventure,24,5,2019,98,5.2,English
Sandy Wexler,Comedy,14,4,2017,131,5.2,English
See You Yesterday,Science fiction,17,5,2019,87,5.2,English
Still Laugh-In: The Stars Celebrate,Variety show,14,5,2019,60,5.2,English
"Strip Down, Rise Up",Documentary,5,2,2021,112,5.2,English
Tall Girl,Comedy,13,9,2019,102,5.2,English
The Beast,Drama,27,11,2020,99,5.2,Italian
The Week Of,Comedy,27,4,2018,116,5.2,English
Cadaver,Horror,22,10,2020,86,5.1,Norwegian
Clinical,Thriller,13,1,2017,104,5.1,English
Coffee & Kareem,Action,3,4,2020,88,5.1,English
Dude,Teen comedy,20,4,2018,97,5.1,English
Geez & Ann,Romantic,25,2,2021,105,5.1,Indonesian
The Larva Island Movie,Animation,23,7,2020,90,5.1,English
Airplane Mode,Comedy,23,1,2020,96,5,Portuguese
How It Ends,Action thriller,13,7,2018,113,5,English
Love Like the Falling Rain,Drama,15,10,2020,86,5,Indonesian
Rebirth,Thriller,15,7,2016,100,5,English
Squared Love,Romantic,11,2,2021,102,5,Polish
Earth and Blood,Action,17,4,2020,80,4.9,French
Fearless,Animation,14,8,2020,89,4.9,English
Holiday Rush,Family ,28,11,2019,94,4.9,English
The Day of the Lord,Drama,30,10,2020,93,4.9,Spanish
Christmas Crossfire,Thriller,4,12,2020,106,4.8,German
Coin Heist,Heist,6,1,2017,97,4.8,English
Mrs. Serial Killer,Thriller,1,5,2020,106,4.8,Hindi
Nobody Sleeps in the Woods Tonight,Horror,28,10,2020,103,4.8,Polish
Take the 10,Comedy,20,1,2017,80,4.8,English
The Main Event,Comedy,10,4,2020,101,4.8,English
The Ridiculous 6,Western,11,12,2015,119,4.8,English
Finding Agnes,Drama,30,11,2020,105,4.7,Filipino
IO,Science fiction,18,1,2019,95,4.7,English
Sentinelle,Action,5,3,2021,80,4.7,French
Sol Levante,Anime ,2,4,2020,4,4.7,English
The Binding,Drama,2,10,2020,93,4.7,Italian
We Can Be Heroes,Superhero,25,12,2020,100,4.7,English
5 Star Christmas,Comedy,7,12,2018,95,4.6,Italian
After Maria,Documentary,24,5,2019,37,4.6,English
I Am the Pretty Thing That Lives in the House,Horror,28,10,2016,89,4.6,English
Paris Is Us,Romance,22,2,2019,83,4.6,French
Porta dos Fundos: The First Temptation of Christ,Comedy,3,12,2019,46,4.6,Portuguese
Rattlesnake,Horror,25,10,2019,85,4.6,English
The Players,Comedy,15,7,2020,88,4.6,Italian
We Are One,Documentary,14,7,2020,86,4.6,French
Fatal Affair,Thriller,16,7,2020,89,4.5,English
Just Say Yes,Romantic,2,4,2021,97,4.5,Dutch
Seriously Single,Comedy,31,7,2020,107,4.5,English
The Misadventures of Hedi and Cokeman,Comedy,10,2,2021,99,4.5,French
Death Note,Horror thriller,25,8,2017,100,4.4,English
"Hello Privilege. It's Me, Chelsea",Documentary,13,9,2019,64,4.4,English
Secret Obsession,Thriller,18,7,2019,97,4.4,English
Sextuplets,Comedy,16,8,2019,99,4.4,English
The Girl on the Train,Thriller,26,2,2021,120,4.4,Hindi
Thunder Force,Superhero,9,4,2021,105,4.4,English
After the Raid,Documentary,19,12,2019,25,4.3,Spanish
Ghost Stories,Horror,1,1,2020,144,4.3,Hindi
The Last Thing He Wanted,Political thriller,21,2,2020,115,4.3,English
What Happened to Mr. Cha?,Comedy,1,1,2021,102,4.3,Korean
All Because of You,Action ,1,10,2020,101,4.2,Malay
Mercy,Thriller,22,11,2016,90,4.2,English
Sardar Ka Grandson,Comedy,18,5,2021,139,4.1,Hindi
Searching for Sheela,Documentary,22,4,2021,58,4.1,English
The Call,Drama,27,11,2020,112,4.1,Korean
Whipped,Romantic,18,9,2020,97,4.1,Indonesian
Paradox,Musical,23,3,2018,73,3.9,English
Leyla Everlasting,Comedy,4,12,2020,112,3.7,Turkish
The Last Days of American Crime,Heist film,5,6,2020,149,3.7,English
Drive,Action,1,11,2019,147,3.5,Hindi
Kaali Khuhi,Mystery,30,10,2020,90,3.4,Hindi
The Open House,Horror thriller,19,1,2018,94,3.2,English
Dark Forces,Thriller,21,8,2020,81,2.6,Spanish
The App,Science fiction,26,12,2019,79,2.6,Italian
Enter the Anime,Documentary,5,8,2019,58,2.5,English
