Title,Genre1,day,month,year,Runtime,IMDB Score,Language
Soni,Crime,18,1,2019,97,7.2,Hindi
The 40-Year-Old Version,Comedy,9,10,2020,124,7.2,English
The Disciple,Drama,30,4,2021,129,7.2,Marathi
The Edge of Democracy,Documentary,19,6,2019,121,7.2,Portuguese
The King,Historical ,1,11,2019,140,7.2,English
The Road to El Camino: A Breaking Bad Movie,Making-of,29,10,2019,13,7.2,English
The Siege of Jadotville,War,7,10,2016,108,7.2,English
Zion,Documentary,10,8,2018,11,7.2,English
13th: A Conversation with Oprah Winfrey & Ava DuVernay,Aftershow ,26,1,2017,36,7.1,English
Angela's Christmas,Animation,30,11,2018,30,7.1,English
Angela's Christmas Wish,Animation,1,12,2020,47,7.1,English
Beats,Drama,19,6,2019,110,7.1,English
Circus of Books,Documentary,22,4,2020,92,7.1,English
Dance Dreams: Hot Chocolate Nutcracker,Documentary,27,11,2020,80,7.1,English
Derren Brown: Sacrifice,Mentalism special,19,10,2018,49,7.1,English
El Pepe: A Supreme Life,Documentary,27,12,2019,73,7.1,Spanish
End Game,Documentary,4,5,2018,40,7.1,English
Evelyn,Documentary,10,9,2019,96,7.1,English
Ferry,Crime,14,5,2021,106,7.1,Dutch
Grass Is Greener,Documentary,20,4,2019,97,7.1,English
Guillermo Vilas: Settling the Score,Documentary,27,10,2020,94,7.1,Spanish
Joshua: Teenager vs. Superpower,Documentary,26,5,2017,78,7.1,English
Keith Richards: Under the Influence,Documentary,18,9,2015,81,7.1,English
Knock Down the House,Documentary,1,5,2019,87,7.1,English
Loudon Wainwright III: Surviving Twin,One-man show,13,11,2018,91,7.1,English
My Beautiful Broken Brain,Documentary,18,3,2016,91,7.1,English
One of Us,Documentary,20,10,2017,95,7.1,English
Pieces of a Woman,Drama,7,1,2021,126,7.1,English
"Ram Dass, Going Home",Documentary,6,4,2018,31,7.1,English
ReMastered: Tricky Dick & the Man in Black,Documentary,2,11,2018,58,7.1,English
Rooting for Roona,Documentary,15,10,2020,41,7.1,Bengali
The Devil All the Time,Psychological thriller,16,9,2020,138,7.1,English
The Dig,Drama,29,1,2021,112,7.1,English
The Great Hack,Documentary,24,7,2019,114,7.1,English
The White Tiger,Drama,22,1,2021,125,7.1,English
To All the Boys I've Loved Before,Romantic,17,8,2018,99,7.1,English
Feminists: What Were They Thinking?,Documentary,12,10,2018,86,7,English
